Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20
Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes
Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No
No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No
Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No
No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes
No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No
Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No
No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes
No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes
No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes
Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No
No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No
Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No
Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes
Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No
Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes
No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No
No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes
Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No
Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No
No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No
Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No
No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No
No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No
No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes
No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No
No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No
Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No
Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No
Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No
Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes
No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No
Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No
No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No
Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No
No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No
No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes
No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No
No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes
No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No
Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No
Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No
No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No
Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No
Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes
No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes
No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No
Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No
No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No
No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No
No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No
Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No
Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No
No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes
No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes
Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No
No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No
Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No
No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No
No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes
No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No
